"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Nicolás Otamendi","Centre-Back",27,"Valencia CF","LaLiga","Man City","Premier League","2015-2016",25000000,44600000
"Roberto Firmino","Second Striker",23,"TSG Hoffenheim","1.Bundesliga","Liverpool","Premier League","2015-2016",25000000,41000000
"Morgan Schneiderlin","Defensive Midfield",25,"Southampton","Premier League","Man Utd","Premier League","2015-2016",28000000,35000000
"Memphis Depay","Left Winger",21,"PSV Eindhoven","Eredivisie","Man Utd","Premier League","2015-2016",28000000,34000000
"Heung-min Son","Left Winger",23,"Bay. Leverkusen","1.Bundesliga","Spurs","Premier League","2015-2016",16000000,30000000
"Ramires","Central Midfield",28,"Chelsea","Premier League","JS Suning","Super League","2015-2016",25000000,28000000
"Álvaro Negredo","Centre-Forward",29,"Man City","Premier League","Valencia CF","LaLiga","2015-2016",18000000,28000000
"Pedro","Left Winger",28,"FC Barcelona","LaLiga","Chelsea","Premier League","2015-2016",20000000,27000000
"Giannelli Imbula","Defensive Midfield",23,"FC Porto","Liga NOS","Stoke City","Premier League","2015-2016",16000000,24250000
"Georginio Wijnaldum","Central Midfield",24,"PSV Eindhoven","Eredivisie","Newcastle","Premier League","2015-2016",15000000,20000000
"Abdul Rahman Baba","Left-Back",21,"FC Augsburg","1.Bundesliga","Chelsea","Premier League","2015-2016",10000000,20000000
"Aleksandar Mitrovic","Centre-Forward",20,"RSC Anderlecht","Jupiler Pro League","Newcastle","Premier League","2015-2016",11000000,18500000
"Florian Thauvin","Right Winger",22,"Marseille","Ligue 1","Newcastle","Premier League","2015-2016",12000000,18350000
"Matteo Darmian","Right-Back",25,"Torino","Serie A","Man Utd","Premier League","2015-2016",12000000,18000000
"Oumar Niasse","Centre-Forward",25,"Loko Moscow","Premier Liga","Everton","Premier League","2015-2016",10000000,17900000
"Nathaniel Clyne","Right-Back",24,"Southampton","Premier League","Liverpool","Premier League","2015-2016",17000000,17700000
"Xherdan Shaqiri","Right Winger",23,"Inter","Serie A","Stoke City","Premier League","2015-2016",17000000,17000000
"José Salomón Rondón","Centre-Forward",25,"Zenit S-Pb","Premier Liga","West Brom","Premier League","2015-2016",15000000,17000000
"Filipe Luís","Left-Back",29,"Chelsea","Premier League","Atlético Madrid","LaLiga","2015-2016",15000000,16000000
"Toby Alderweireld","Centre-Back",26,"Atlético Madrid","LaLiga","Spurs","Premier League","2015-2016",15000000,16000000
"Jonjo Shelvey","Central Midfield",23,"Swansea","Premier League","Newcastle","Premier League","2015-2016",12000000,16000000
"Roberto Soldado","Centre-Forward",30,"Spurs","Premier League","Villarreal CF","LaLiga","2015-2016",10000000,16000000
"Andros Townsend","Right Winger",24,"Spurs","Premier League","Newcastle","Premier League","2015-2016",8000000,15700000
"Virgil van Dijk","Centre-Back",24,"Celtic","Premiership","Southampton","Premier League","2015-2016",5000000,15700000
"Dimitri Payet","Attacking Midfield",28,"Marseille","Ligue 1","West Ham","Premier League","2015-2016",13000000,15000000
"Jordy Clasie","Defensive Midfield",24,"Feyenoord","Eredivisie","Southampton","Premier League","2015-2016",10000000,15000000
"Clinton N'Jie","Centre-Forward",22,"Olympique Lyon","Ligue 1","Spurs","Premier League","2015-2016",5000000,14100000
"Petr Cech","Goalkeeper",33,"Chelsea","Premier League","Arsenal","Premier League","2015-2016",12000000,14000000
"Paulinho","Central Midfield",26,"Spurs","Premier League","GZ Evergrande","Super League","2015-2016",9000000,14000000
"Yohan Cabaye","Central Midfield",29,"Paris SG","Ligue 1","Crystal Palace","Premier League","2015-2016",16000000,13900000
"Benik Afobe","Centre-Forward",22,"Wolves","Championship","Bournemouth","Premier League","2015-2016",7000000,13300000
"Ramiro Funes Mori","Centre-Back",24,"River Plate","Primera División","Everton","Premier League","2015-2016",6000000,12900000
"Mohamed Elneny","Defensive Midfield",23,"FC Basel","Super League","Arsenal","Premier League","2015-2016",4000000,12500000
"Chicharito","Centre-Forward",27,"Man Utd","Premier League","Bay. Leverkusen","1.Bundesliga","2015-2016",10000000,12000000
"Chancel Mbemba","Centre-Back",20,"RSC Anderlecht","Jupiler Pro League","Newcastle","Premier League","2015-2016",8000000,12000000
"Jordan Ayew","Centre-Forward",23,"FC Lorient","Ligue 1","Aston Villa","Premier League","2015-2016",6000000,12000000
"Rony Lopes","Right Winger",19,"Man City","Premier League","Monaco","Ligue 1","2015-2016",4500000,12000000
"Wahbi Khazri","Attacking Midfield",24,"G. Bordeaux","Ligue 1","Sunderland","Premier League","2015-2016",7500000,11800000
"Fabian Delph","Central Midfield",25,"Aston Villa","Premier League","Man City","Premier League","2015-2016",10000000,11500000
"Jeremain Lens","Right Winger",27,"Dynamo Kyiv","Premier Liga","Sunderland","Premier League","2015-2016",12000000,11400000
"Tyrone Mings","Centre-Back",22,"Ipswich","Championship","Bournemouth","Premier League","2015-2016",6000000,11300000
"James Chester","Centre-Back",26,"Hull City","Championship","West Brom","Premier League","2015-2016",2000000,11300000
"Asmir Begovic","Goalkeeper",28,"Stoke City","Premier League","Chelsea","Premier League","2015-2016",12000000,11000000
"Angelo Ogbonna","Centre-Back",27,"Juventus","Serie A","West Ham","Premier League","2015-2016",9000000,11000000
"Shinji Okazaki","Centre-Forward",29,"1.FSV Mainz 05","1.Bundesliga","Leicester","Premier League","2015-2016",8000000,11000000
"Steven Naismith","Right Winger",29,"Everton","Premier League","Norwich","Premier League","2015-2016",5000000,11000000
"Jordan Amavi","Left-Back",21,"OGC Nice","Ligue 1","Aston Villa","Premier League","2015-2016",4000000,11000000
"Timm Klose","Centre-Back",27,"VfL Wolfsburg","1.Bundesliga","Norwich","Premier League","2015-2016",3000000,11000000
"Fabio Borini","Left Winger",24,"Liverpool","Premier League","Sunderland","Premier League","2015-2016",7000000,10700000
"Abdoulaye Doucouré","Central Midfield",23,"Stade Rennais","Ligue 1","Watford","Premier League","2015-2016",6000000,10600000
"Adalberto Peñaranda","Centre-Forward",18,"Udinese Calcio","Serie A","Watford","Premier League","2015-2016",500000,10600000
"Ricardo Álvarez","Attacking Midfield",27,"Inter","Serie A","Sunderland","Premier League","2015-2016",10000000,10500000
"Jordan Veretout","Central Midfield",22,"FC Nantes","Ligue 1","Aston Villa","Premier League","2015-2016",8000000,10000000
"Max Gradel","Left Winger",27,"Saint-Étienne","Ligue 1","Bournemouth","Premier League","2015-2016",6500000,10000000
"Connor Wickham","Centre-Forward",22,"Sunderland","Premier League","Crystal Palace","Premier League","2015-2016",5000000,10000000
"Adama Traoré","Right Winger",19,"FC Barcelona B","2ª B - Grupo III","Aston Villa","Premier League","2015-2016",5000000,10000000
"Robbie Brady","Left Midfield",23,"Hull City","Championship","Norwich","Premier League","2015-2016",2000000,9900000
"Matija Nastasic","Centre-Back",22,"Man City","Premier League","FC Schalke 04","1.Bundesliga","2015-2016",14000000,9500000
"Alberto Paloschi","Centre-Forward",26,"Chievo Verona","Serie A","Swansea","Premier League","2015-2016",6000000,9500000
"Michail Antonio","Right Winger",25,"Nottm Forest","Championship","West Ham","Premier League","2015-2016",2500000,9500000
"Lewis Grabban","Centre-Forward",28,"Norwich","Premier League","Bournemouth","Premier League","2015-2016",3000000,9350000
"Bastian Schweinsteiger","Central Midfield",30,"Bayern Munich ","1.Bundesliga","Man Utd","Premier League","2015-2016",22000000,9000000
"Idrissa Gueye","Central Midfield",25,"LOSC Lille","Ligue 1","Aston Villa","Premier League","2015-2016",7500000,9000000
"N'Golo Kanté","Defensive Midfield",24,"SM Caen","Ligue 1","Leicester","Premier League","2015-2016",4500000,9000000
"Étienne Capoue","Defensive Midfield",27,"Spurs","Premier League","Watford","Premier League","2015-2016",7500000,8900000
"José Manuel Jurado","Attacking Midfield",29,"Spartak Moscow","Premier Liga","Watford","Premier League","2015-2016",7000000,8600000
"Benjamin Stambouli","Centre-Back",24,"Spurs","Premier League","Paris SG","Ligue 1","2015-2016",5000000,8600000
"Rudy Gestede","Centre-Forward",26,"Blackburn","Championship","Aston Villa","Premier League","2015-2016",3500000,8500000
"Nordin Amrabat","Left Winger",28,"Málaga CF","LaLiga","Watford","Premier League","2015-2016",6000000,8400000
"Matej Vydra","Centre-Forward",23,"Udinese Calcio","Serie A","Watford","Premier League","2015-2016",5500000,8400000
"Danny Ings","Centre-Forward",22,"Burnley","Championship","Liverpool","Premier League","2015-2016",12000000,8300000
"Jonny Evans","Centre-Back",27,"Man Utd","Premier League","West Brom","Premier League","2015-2016",6000000,8300000
"Obbi Oulare","Centre-Forward",19,"Club Brugge","Jupiler Pro League","Watford","Premier League","2015-2016",5000000,8230000
"Bradley Johnson","Central Midfield",28,"Norwich","Premier League","Derby","Championship","2015-2016",4000000,8100000
"Thorgan Hazard","Left Winger",22,"Chelsea","Premier League","Bor. M'gladbach","1.Bundesliga","2015-2016",10000000,8000000
"Steven Nzonzi","Defensive Midfield",26,"Stoke City","Premier League","Sevilla FC","LaLiga","2015-2016",7500000,8000000
"Joselu","Centre-Forward",25,"Hannover 96","1.Bundesliga","Stoke City","Premier League","2015-2016",6000000,8000000
"Kenedy","Left Midfield",19,"Fluminense","Série A","Chelsea","Premier League","2015-2016",6000000,8000000
"Stewart Downing","Left Midfield",31,"West Ham","Premier League","Middlesbrough","Championship","2015-2016",6000000,7900000
"Patrick Roberts","Right Winger",18,"Fulham","Championship","Man City","Premier League","2015-2016",2500000,7200000
"Cédric Soares","Right-Back",23,"Sporting CP","Liga NOS","Southampton","Premier League","2015-2016",9500000,7000000
"Gökhan Inler","Defensive Midfield",31,"SSC Napoli","Serie A","Leicester","Premier League","2015-2016",7500000,7000000
"Juanmi","Right Winger",22,"Málaga CF","LaLiga","Southampton","Premier League","2015-2016",7000000,7000000
"Vlad Chiriches","Centre-Back",25,"Spurs","Premier League","SSC Napoli","Serie A","2015-2016",6000000,7000000
"Marko Grujic","Central Midfield",19,"Red Star","SuperLiga","Liverpool","Premier League","2015-2016",3000000,7000000
"Oriol Romeu","Defensive Midfield",23,"Chelsea","Premier League","Southampton","Premier League","2015-2016",2500000,7000000
"Yohan Benalouane","Centre-Back",28,"Atalanta","Serie A","Leicester","Premier League","2015-2016",1300000,7000000
"Éder","Centre-Forward",27,"Braga","Liga NOS","Swansea","Premier League","2015-2016",6000000,6700000
"Daniel Amartey","Defensive Midfield",21,"FC Copenhagen","Superligaen","Leicester","Premier League","2015-2016",3000000,6600000
"Robin van Persie","Centre-Forward",31,"Man Utd","Premier League","Fenerbahce","Süper Lig","2015-2016",15000000,6500000
"Lewis Holtby","Attacking Midfield",24,"Spurs","Premier League","Hamburger SV","1.Bundesliga","2015-2016",4000000,6500000
"Steven Berghuis","Right Winger",23,"AZ Alkmaar","Eredivisie","Watford","Premier League","2015-2016",3500000,6500000
"Lamine Koné","Centre-Back",27,"FC Lorient","Ligue 1","Sunderland","Premier League","2015-2016",2500000,6500000
"Nani","Left Winger",28,"Man Utd","Premier League","Fenerbahce","Süper Lig","2015-2016",15000000,6000000
"Aaron Lennon","Right Winger",28,"Spurs","Premier League","Everton","Premier League","2015-2016",8500000,6000000
"Pedro Obiang","Central Midfield",23,"Sampdoria","Serie A","West Ham","Premier League","2015-2016",8000000,6000000
"Kevin Wimmer","Centre-Back",22,"1. FC Köln","1.Bundesliga","Spurs","Premier League","2015-2016",7500000,6000000
"Gerard Deulofeu","Right Winger",21,"FC Barcelona","LaLiga","Everton","Premier League","2015-2016",6000000,6000000
"Iago Aspas","Right Winger",27,"Liverpool","Premier League","Sevilla FC","LaLiga","2015-2016",4000000,6000000
"Gaël Kakuta","Left Winger",24,"Chelsea","Premier League","Sevilla FC","LaLiga","2015-2016",3500000,6000000
"Henri Saivet","Attacking Midfield",25,"G. Bordeaux","Ligue 1","Newcastle","Premier League","2015-2016",2500000,6000000
"David Nugent","Centre-Forward",30,"Leicester","Premier League","Middlesbrough","Championship","2015-2016",2000000,5600000
"Paul Pogba","Central Midfield",23,"Juventus","Serie A","Man Utd","Premier League","2016-2017",70000000,105000000
"Oscar","Attacking Midfield",25,"Chelsea","Premier League","SIPG","Super League","2016-2017",35000000,60000000
"John Stones","Centre-Back",22,"Everton","Premier League","Man City","Premier League","2016-2017",28000000,55600000
"Leroy Sané","Left Winger",20,"FC Schalke 04","1.Bundesliga","Man City","Premier League","2016-2017",30000000,50500000
"Granit Xhaka","Defensive Midfield",23,"Bor. M'gladbach","1.Bundesliga","Arsenal","Premier League","2016-2017",25000000,45000000
"Henrikh Mkhitaryan","Attacking Midfield",27,"Bor. Dortmund","1.Bundesliga","Man Utd","Premier League","2016-2017",30000000,42000000
"Sadio Mané","Left Winger",24,"Southampton","Premier League","Liverpool","Premier League","2016-2017",20000000,41200000
"Shkodran Mustafi","Centre-Back",24,"Valencia CF","LaLiga","Arsenal","Premier League","2016-2017",20000000,41000000
"Michy Batshuayi","Centre-Forward",22,"Marseille","Ligue 1","Chelsea","Premier League","2016-2017",15000000,39000000
"Eric Bailly","Centre-Back",22,"Villarreal CF","LaLiga","Man Utd","Premier League","2016-2017",8000000,38000000
"N'Golo Kanté","Defensive Midfield",25,"Leicester","Premier League","Chelsea","Premier League","2016-2017",20000000,35800000
"David Luiz","Centre-Back",29,"Paris SG","Ligue 1","Chelsea","Premier League","2016-2017",28000000,35000000
"Moussa Sissoko","Central Midfield",27,"Newcastle","Championship","Spurs","Premier League","2016-2017",13000000,35000000
"Gabriel Jesus","Centre-Forward",19,"Palmeiras","Série A","Man City","Premier League","2016-2017",16000000,32000000
"Christian Benteke","Centre-Forward",25,"Liverpool","Premier League","Crystal Palace","Premier League","2016-2017",27000000,31200000
"Islam Slimani","Centre-Forward",28,"Sporting CP","Liga NOS","Leicester","Premier League","2016-2017",22000000,30500000
"Dimitri Payet","Attacking Midfield",29,"West Ham","Premier League","Marseille","Ligue 1","2016-2017",30000000,29300000
"Yannick Bolasie","Left Winger",27,"Crystal Palace","Premier League","Everton","Premier League","2016-2017",14000000,28900000
"Georginio Wijnaldum","Central Midfield",25,"Newcastle","Championship","Liverpool","Premier League","2016-2017",20000000,27500000
"Ilkay Gündogan","Central Midfield",25,"Bor. Dortmund","1.Bundesliga","Man City","Premier League","2016-2017",30000000,27000000
"André Ayew","Left Winger",26,"Swansea","Premier League","West Ham","Premier League","2016-2017",18000000,24100000
"Odion Ighalo","Centre-Forward",27,"Watford","Premier League","CC Yatai","Super League","2016-2017",12000000,23300000
"Marcos Alonso","Left-Back",25,"Fiorentina","Serie A","Chelsea","Premier League","2016-2017",9000000,23000000
"Morgan Schneiderlin","Defensive Midfield",27,"Man Utd","Premier League","Everton","Premier League","2016-2017",28000000,22900000
"Vincent Janssen","Centre-Forward",22,"AZ Alkmaar","Eredivisie","Spurs","Premier League","2016-2017",6000000,22100000
"Didier Ndong","Central Midfield",22,"FC Lorient","Rel. Ligue 1","Sunderland","Premier League","2016-2017",5000000,20000000
"Ahmed Musa","Centre-Forward",23,"CSKA Moscow","Premier Liga","Leicester","Premier League","2016-2017",18000000,19500000
"Sofiane Boufal","Attacking Midfield",22,"LOSC Lille","Ligue 1","Southampton","Premier League","2016-2017",13000000,18700000
"Claudio Bravo","Goalkeeper",33,"FC Barcelona","LaLiga","Man City","Premier League","2016-2017",15000000,18000000
"Nolito","Left Winger",29,"Celta de Vigo","LaLiga","Man City","Premier League","2016-2017",15000000,18000000
"Jordon Ibe","Right Winger",20,"Liverpool","Premier League","Bournemouth","Premier League","2016-2017",7000000,18000000
"Borja Bastón","Centre-Forward",23,"Atlético Madrid","LaLiga","Swansea","Premier League","2016-2017",5000000,18000000
"Wilfred Ndidi","Defensive Midfield",20,"KRC Genk","Jupiler Pro League","Leicester","Premier League","2016-2017",8000000,17600000
"Manolo Gabbiadini","Centre-Forward",25,"SSC Napoli","Serie A","Southampton","Premier League","2016-2017",15000000,17000000
"Memphis Depay","Left Winger",22,"Man Utd","Premier League","Olympique Lyon","Ligue 1","2016-2017",25000000,16000000
"Andros Townsend","Right Winger",24,"Newcastle","Championship","Crystal Palace","Premier League","2016-2017",9000000,15600000
"Joe Allen","Central Midfield",26,"Liverpool","Premier League","Stoke City","Premier League","2016-2017",8000000,15500000
"Nampalys Mendy","Defensive Midfield",24,"OGC Nice","Ligue 1","Leicester","Premier League","2016-2017",7500000,15500000
"Ryan Mason","Central Midfield",25,"Spurs","Premier League","Hull City","Premier League","2016-2017",7500000,15400000
"Graziano Pellè","Centre-Forward",31,"Southampton","Premier League","SD Luneng","Super League","2016-2017",11000000,15250000
"Nacer Chadli","Left Winger",27,"Spurs","Premier League","West Brom","Premier League","2016-2017",13000000,15200000
"Robbie Brady","Left Midfield",25,"Norwich","Championship","Burnley","Premier League","2016-2017",8000000,15100000
"Luka Milivojevic","Defensive Midfield",25,"Olympiacos","Super League","Crystal Palace","Premier League","2016-2017",8000000,15100000
"Mohamed Salah","Right Winger",24,"Chelsea","Premier League","AS Roma","Serie A","2016-2017",20000000,15000000
"Pierre-Emile Höjbjerg","Central Midfield",20,"Bayern Munich ","1.Bundesliga","Southampton","Premier League","2016-2017",6000000,15000000
"Isaac Success","Left Winger",20,"Granada CF","LaLiga","Watford","Premier League","2016-2017",3000000,15000000
"Victor Wanyama","Defensive Midfield",25,"Southampton","Premier League","Spurs","Premier League","2016-2017",15000000,14400000
"Lucas Pérez","Centre-Forward",27,"Dep. La Coruña","LaLiga","Arsenal","Premier League","2016-2017",12000000,14000000
"Ashley Williams","Centre-Back",31,"Swansea","Premier League","Everton","Premier League","2016-2017",8000000,14000000
"Saido Berahino","Centre-Forward",23,"West Brom","Premier League","Stoke City","Premier League","2016-2017",15000000,13900000
"Jeffrey Schlupp","Left-Back",24,"Leicester","Premier League","Crystal Palace","Premier League","2016-2017",8000000,13800000
"Stevan Jovetic","Centre-Forward",27,"Man City","Premier League","Inter","Serie A","2016-2017",10000000,13500000
"Nathan Redmond","Left Winger",22,"Norwich","Championship","Southampton","Premier League","2016-2017",7500000,13500000
"Roberto Pereyra","Attacking Midfield",25,"Juventus","Serie A","Watford","Premier League","2016-2017",16000000,13000000
"Manuel Lanzini","Attacking Midfield",23,"Al-Jazira","UAE Gulf League","West Ham","Premier League","2016-2017",9000000,12000000
"Matt Ritchie","Right Midfield",26,"Bournemouth","Premier League","Newcastle","Championship","2016-2017",6000000,12000000
"Robert Snodgrass","Right Winger",29,"Hull City","Premier League","West Ham","Premier League","2016-2017",5000000,12000000
"Dwight Gayle","Centre-Forward",25,"Crystal Palace","Premier League","Newcastle","Championship","2016-2017",3000000,12000000
"Jeff Hendrick","Central Midfield",24,"Derby","Championship","Burnley","Premier League","2016-2017",1500000,11800000
"James Tomkins","Centre-Back",27,"West Ham","Premier League","Crystal Palace","Premier League","2016-2017",6000000,11700000
"Jake Livermore","Defensive Midfield",27,"Hull City","Premier League","West Brom","Premier League","2016-2017",4500000,11500000
"Edin Dzeko","Centre-Forward",30,"Man City","Premier League","AS Roma","Serie A","2016-2017",18000000,11000000
"Georges-Kevin N'Koudou","Left Winger",21,"Marseille","Ligue 1","Spurs","Premier League","2016-2017",7000000,11000000
"Andrej Kramaric","Centre-Forward",25,"Leicester","Premier League","TSG Hoffenheim","1.Bundesliga","2016-2017",5000000,11000000
"Patrick van Aanholt","Left-Back",26,"Sunderland","Premier League","Crystal Palace","Premier League","2016-2017",6000000,10500000
"Marten de Roon","Central Midfield",25,"Atalanta","Serie A","Middlesbrough","Premier League","2016-2017",5000000,10500000
"Papy Djilobodji","Centre-Back",27,"Chelsea","Premier League","Sunderland","Premier League","2016-2017",4500000,9500000
"Matej Vydra","Centre-Forward",24,"Watford","Premier League","Derby","Championship","2016-2017",5500000,9400000
"Alex Pritchard","Attacking Midfield",23,"Spurs","Premier League","Norwich","Championship","2016-2017",3000000,9400000
"James Chester","Centre-Back",27,"West Brom","Premier League","Aston Villa","Championship","2016-2017",6000000,9300000
"José Fonte","Centre-Back",33,"Southampton","Premier League","West Ham","Premier League","2016-2017",6000000,9200000
"Sven Kums","Defensive Midfield",28,"KAA Gent","Jupiler Pro League","Watford","Premier League","2016-2017",7500000,9000000
"Kamil Grosicki","Right Winger",28,"Stade Rennais","Ligue 1","Hull City","Premier League","2016-2017",6000000,9000000
"Daryl Janmaat","Right-Back",27,"Newcastle","Championship","Watford","Premier League","2016-2017",7500000,8900000
"Ademola Lookman","Left Winger",19,"Charlton","League One","Everton","Premier League","2016-2017",1500000,8800000
"Steven Defour","Central Midfield",28,"RSC Anderlecht","Jupiler Pro League","Burnley","Premier League","2016-2017",6000000,8600000
"Idrissa Gueye","Central Midfield",26,"Aston Villa","Championship","Everton","Premier League","2016-2017",9000000,8500000
"Adama Traoré","Right Winger",20,"Aston Villa","Championship","Middlesbrough","Premier League","2016-2017",8000000,8250000
"Malick Evouna","Centre-Forward",23,"Ahly","Premier League","TJ Teda","Super League","2016-2017",2000000,7250000
"Rudy Gestede","Centre-Forward",28,"Aston Villa","Championship","Middlesbrough","Premier League","2016-2017",7000000,7100000
"Arthur Masuaku","Left-Back",22,"Olympiacos","Super League","West Ham","Premier League","2016-2017",7000000,7100000
"Gerónimo Rulli","Goalkeeper",24,"Man City","Premier League","Real Sociedad","LaLiga","2016-2017",8000000,7000000
"Lewis Cook","Central Midfield",19,"Leeds","Championship","Bournemouth","Premier League","2016-2017",4000000,7000000
"Christian Kabasele","Centre-Back",25,"KRC Genk","Jupiler Pro League","Watford","Premier League","2016-2017",6000000,6950000
"Patrick Bamford","Centre-Forward",23,"Chelsea","Premier League","Middlesbrough","Premier League","2016-2017",5000000,6900000
"Matt Phillips","Right Winger",25,"QPR","Championship","West Brom","Premier League","2016-2017",6000000,6500000
"Lys Mousset","Centre-Forward",20,"AC Le Havre","Ligue 2","Bournemouth","Premier League","2016-2017",400000,6500000
"Edimilson Fernandes","Central Midfield",20,"FC Sion","Super League","West Ham","Premier League","2016-2017",4500000,6400000
"Loris Karius","Goalkeeper",23,"1.FSV Mainz 05","1.Bundesliga","Liverpool","Premier League","2016-2017",7000000,6200000
